name,region,county,population,latest_home_price,home_price_year,dor_income_per_capita,eqv_per_capita,economic_score,crime_actual_offenses,crime_rate_per_1000,safety_score,drive_minutes_to_boston,drive_distance_miles_to_boston,commute_score,school_score,affordability_score,family_score,missing_fields,data_sources,tags,data_quality_tier,is_coastal,is_coastal_source,region_key
Lancaster,Northwest / Middlesex / Route 2 / 495 belt,Worcester,8993,,,44043,166510,1.61,97,11.54,4.37,50.5,45.99,2.01,4.05,,3.34,"['home_price_year', 'latest_home_price']","['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV']",['Northwest / Middlesex / Route 2 / 495 belt'],partial,False,,northwest_route_2_495
Sterling,Northwest / Middlesex / Route 2 / 495 belt,Worcester,8310,,,58549,221943,4.38,50,6.06,7.44,58.8,50.7,0.85,2.8,,4.87,"['home_price_year', 'latest_home_price']","['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV']","['Northwest / Middlesex / Route 2 / 495 belt', 'low crime']",partial,False,,northwest_route_2_495
Natick,MetroWest,Middlesex,37316,738250.0,2021.0,77821,338770,7.59,631,17.48,2.36,31.7,22.23,7.24,9.35,3.69,5.75,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'strong schools', 'short commute', 'higher income area']",full,False,,metrowest
Framingham,MetroWest,Middlesex,73361,575000.0,2021.0,46614,209780,2.89,1238,17.53,2.31,29.4,21.36,7.81,2.74,6.64,3.65,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'short commute']",full,False,,metrowest
Ashland,MetroWest,Middlesex,19391,562500.0,2021.0,64835,236070,5.08,185,10.08,4.87,34.1,27.46,6.53,9.58,6.71,6.56,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'strong schools']",full,False,,metrowest
Sherborn,MetroWest,Middlesex,4485,1053000.0,2021.0,352250,421076,9.42,12,2.75,9.7,34.7,24.07,6.33,,1.01,6.71,['school_score'],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'low crime', 'higher income area']",partial,False,,metrowest
Dover,MetroWest,Norfolk,6057,1499000.0,2021.0,264727,595230,9.88,41,6.99,6.48,31.4,18.1,7.31,7.38,0.4,6.04,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'strong schools', 'short commute', 'higher income area']",full,False,,metrowest
Holliston,MetroWest,Middlesex,15347,615000.0,2021.0,72144,259860,6.03,57,3.84,9.25,42.2,28.27,4.45,5.12,5.37,6.44,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'low crime']",full,False,,metrowest
Hopkinton,MetroWest,Middlesex,19971,871000.0,2021.0,98303,338789,8.22,96,4.91,8.44,37.2,33.98,5.83,7.8,1.74,6.55,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'strong schools', 'low crime', 'higher income area']",full,False,,metrowest
Southborough,MetroWest,Worcester,10569,825000.0,2021.0,127127,359839,8.7,38,3.64,9.4,31.4,26.88,7.31,3.66,2.45,6.05,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'low crime', 'short commute', 'higher income area']",full,False,,metrowest
Westborough,MetroWest,Worcester,22643,,,67279,282781,6.2,398,18.45,1.96,39.5,31.9,5.2,9.52,,5.89,"['home_price_year', 'latest_home_price']","['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV']","['MetroWest', 'strong schools']",partial,False,,metrowest
Northborough,MetroWest,Worcester,15867,,,75270,286197,6.86,90,5.73,7.79,42.0,36.86,4.57,3.33,,5.99,"['home_price_year', 'latest_home_price']","['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV']","['MetroWest', 'low crime']",partial,False,,metrowest
Shrewsbury,MetroWest,Worcester,39620,,,73712,231110,5.52,341,8.39,5.78,46.6,37.3,2.91,8.87,,6.72,"['home_price_year', 'latest_home_price']","['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV']","['MetroWest', 'strong schools']",partial,False,,metrowest
Grafton,MetroWest,Worcester,20352,,,64906,203370,4.27,97,4.86,8.59,46.6,42.85,2.91,2.68,,5.18,"['home_price_year', 'latest_home_price']","['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV']","['MetroWest', 'low crime']",partial,False,,metrowest
Upton,MetroWest,Worcester,8475,,,67417,230950,5.05,40,4.87,8.52,42.2,37.35,4.45,9.23,,7.6,"['home_price_year', 'latest_home_price']","['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV']","['MetroWest', 'strong schools', 'low crime', 'family-friendly']",partial,False,,metrowest
Milford,MetroWest,Worcester,30640,460000.0,2021.0,40990,184322,1.54,597,19.75,1.81,43.6,38.62,3.94,2.08,9.09,3.63,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'more affordable']",full,False,,metrowest
Hopedale,MetroWest,Worcester,6063,,,53217,190565,3.14,41,6.8,6.81,48.5,40.04,2.34,4.7,,4.88,"['home_price_year', 'latest_home_price']","['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV']",['MetroWest'],partial,False,,metrowest
Mendon,MetroWest,Worcester,6441,,,66023,243469,5.35,42,6.63,7.04,52.3,41.79,1.63,2.53,,4.97,"['home_price_year', 'latest_home_price']","['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV']","['MetroWest', 'low crime']",partial,False,,metrowest
Bellingham,MetroWest,Norfolk,17998,400289.0,2021.0,45801,226491,3.22,285,16.06,2.66,47.3,43.67,2.66,0.24,10.0,4.03,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'more affordable']",full,False,,metrowest
Medway,MetroWest,Norfolk,13836,559000.0,2021.0,69807,262969,5.98,65,4.77,8.74,48.5,43.2,2.34,4.43,6.85,6.5,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'low crime']",full,False,,metrowest
Millis,MetroWest,Norfolk,9338,585000.0,2021.0,61956,238817,4.92,19,2.1,9.85,45.0,30.61,3.39,4.58,6.21,6.39,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'low crime']",full,False,,metrowest
Medfield,MetroWest,Norfolk,13334,835000.0,2021.0,111805,307851,8.02,60,4.52,8.94,39.1,27.8,5.3,9.82,2.25,7.26,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'strong schools', 'low crime', 'higher income area', 'family-friendly']",full,False,,metrowest
Norfolk,MetroWest,Norfolk,11962,700000.0,2021.0,73622,238099,5.68,65,5.59,8.04,27.2,18.52,8.22,,4.16,5.96,['school_score'],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'low crime', 'short commute']",partial,False,,metrowest
Franklin,MetroWest,Norfolk,33742,600000.0,2021.0,64589,253048,5.48,216,6.25,7.29,47.3,41.35,2.66,8.33,5.94,6.76,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'strong schools', 'low crime']",full,False,,metrowest
Wrentham,MetroWest,Norfolk,12516,600000.0,2021.0,73106,280753,6.56,296,23.35,0.95,39.9,31.17,5.08,9.05,5.94,5.62,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'strong schools']",full,False,,metrowest
Plainville,MetroWest,Norfolk,10067,535000.0,2021.0,51750,242275,4.34,269,27.19,0.65,42.8,37.05,4.32,,7.45,4.15,['school_score'],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'more affordable']",partial,False,,metrowest
Foxborough,MetroWest,Norfolk,18791,596450.0,2021.0,64808,241474,5.18,333,17.96,2.06,34.9,28.9,6.23,8.69,6.11,5.51,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'strong schools']",full,False,,metrowest
Walpole,MetroWest,Norfolk,26391,620000.0,2021.0,73347,280098,6.53,381,14.48,3.22,33.1,24.79,6.78,8.15,5.27,5.79,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'strong schools']",full,False,,metrowest
Norwood,MetroWest,Norfolk,31764,610000.0,2021.0,58355,259552,5.28,392,12.49,4.17,30.1,22.13,7.69,5.77,5.54,5.19,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'short commute']",full,False,,metrowest
Westwood,MetroWest,Norfolk,16533,1049000.0,2021.0,127497,440536,9.22,224,13.72,3.67,30.6,23.17,7.54,9.46,1.07,5.86,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'strong schools', 'short commute', 'higher income area']",full,False,,metrowest
Canton,MetroWest,Norfolk,25163,742500.0,2021.0,73374,328543,7.28,291,11.7,4.32,28.8,19.11,7.99,7.08,3.62,5.58,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'strong schools', 'short commute', 'higher income area']",full,False,,metrowest
Sharon,MetroWest,Norfolk,18762,675000.0,2021.0,85745,282934,7.26,62,3.36,9.5,29.8,23.85,7.74,9.7,4.43,7.72,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'strong schools', 'low crime', 'short commute', 'higher income area', 'family-friendly']",full,False,,metrowest
Stoughton,MetroWest,Norfolk,29457,500000.0,2021.0,42818,213313,2.62,584,20.14,1.61,30.8,20.41,7.49,5.3,7.92,4.36,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'short commute', 'more affordable']",full,False,,metrowest
Randolph,MetroWest,Norfolk,35114,472750.0,2021.0,34979,177494,1.0,584,17.83,2.11,25.0,15.69,8.47,0.77,8.72,3.15,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'short commute', 'more affordable']",full,False,,metrowest
Holbrook,MetroWest,Norfolk,11475,435350.0,2021.0,40811,183020,1.44,315,27.87,0.6,30.3,16.74,7.64,4.11,9.66,3.95,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'short commute', 'more affordable']",full,False,,metrowest
Avon,MetroWest,Norfolk,4801,450000.0,2021.0,44742,258259,3.8,101,21.29,1.41,25.2,19.95,8.39,3.51,9.3,4.5,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['MetroWest', 'short commute', 'more affordable']",full,False,,metrowest
Braintree,South Shore,Norfolk,39134,625500.0,2021.0,52904,264230,4.92,679,17.62,2.21,18.0,12.27,9.5,8.81,5.1,5.26,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'strong schools', 'short commute']",full,False,,south_shore
Weymouth,South Shore,Norfolk,60159,535000.0,2021.0,45212,222981,2.99,862,14.93,3.02,23.8,16.18,8.54,3.99,7.45,4.36,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'short commute', 'more affordable']",full,False,,south_shore
Hingham,South Shore,Plymouth,24414,1125000.0,2021.0,148511,433421,9.22,277,11.04,4.57,32.5,21.98,7.01,5.06,0.94,4.95,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'coastal', 'short commute', 'higher income area']",full,True,curated,south_shore
Hull,South Shore,Plymouth,10278,555000.0,2021.0,56885,326525,6.28,113,10.64,4.65,48.0,22.48,2.49,3.1,6.98,5.25,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'coastal']",full,True,curated,south_shore
Cohasset,South Shore,Norfolk,8532,1350000.0,2021.0,154676,496041,9.55,57,6.8,6.81,40.3,26.01,4.97,7.44,0.67,6.12,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'coastal', 'strong schools', 'higher income area']",full,True,curated,south_shore
Scituate,South Shore,Plymouth,19598,800000.0,2021.0,92061,424255,8.64,55,2.74,9.75,39.1,28.79,5.3,8.39,2.79,7.39,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'coastal', 'strong schools', 'low crime', 'higher income area', 'family-friendly']",full,True,curated,south_shore
Norwell,South Shore,Plymouth,11477,850000.0,2021.0,119269,373505,8.75,77,6.56,7.14,29.4,23.07,7.81,7.98,2.01,6.47,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'strong schools', 'low crime', 'short commute', 'higher income area']",full,False,,south_shore
Hanover,South Shore,Plymouth,14887,677500.0,2021.0,75870,297875,7.01,195,12.7,4.07,32.6,23.0,6.91,6.07,4.36,5.38,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'higher income area']",full,False,,south_shore
Rockland,South Shore,Plymouth,17708,440000.0,2021.0,39777,195738,1.71,244,13.35,3.82,30.9,21.55,7.44,3.04,9.53,4.53,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'short commute', 'more affordable']",full,False,,south_shore
Abington,South Shore,Plymouth,17090,500000.0,2021.0,46123,191838,2.31,363,20.58,1.56,33.9,20.93,6.61,1.9,7.92,3.42,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'more affordable']",full,False,,south_shore
Whitman,South Shore,Plymouth,15459,442500.0,2021.0,42535,173768,1.51,240,15.02,2.96,37.8,22.81,5.63,6.52,9.4,5.1,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'more affordable']",full,False,,south_shore
Hanson,South Shore,Plymouth,10719,485000.0,2021.0,49839,197541,3.02,79,7.17,6.36,37.9,26.26,5.55,,8.32,5.9,['school_score'],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'more affordable']",partial,False,,south_shore
Pembroke,South Shore,Plymouth,18428,535000.0,2021.0,56690,235707,4.57,116,6.09,7.39,37.7,29.66,5.68,8.93,7.45,7.08,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'strong schools', 'low crime', 'more affordable', 'family-friendly']",full,False,,south_shore
Marshfield,South Shore,Plymouth,26043,627500.0,2021.0,68318,320638,6.86,112,4.18,9.1,35.6,28.91,6.11,4.64,4.97,6.39,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'coastal', 'low crime']",full,True,curated,south_shore
Duxbury,South Shore,Plymouth,16377,885000.0,2021.0,113703,456388,9.12,83,4.94,8.39,39.7,33.33,5.13,9.4,1.54,7.11,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'coastal', 'strong schools', 'low crime', 'higher income area', 'family-friendly']",full,True,curated,south_shore
Kingston,South Shore,Plymouth,14462,600000.0,2021.0,54094,237798,4.44,192,13.26,3.92,40.7,35.46,4.92,7.5,5.94,5.45,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'coastal', 'strong schools']",full,True,curated,south_shore
Plymouth,South Shore,Plymouth,66663,500000.0,2021.0,49272,273527,4.65,1210,17.59,2.26,43.1,38.58,4.15,4.82,7.92,4.91,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'coastal', 'more affordable']",full,True,curated,south_shore
Carver,South Shore,Plymouth,11817,465000.0,2021.0,40588,186979,1.48,107,8.83,5.43,51.2,46.85,1.86,6.01,8.99,5.48,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['South Shore', 'more affordable']",full,False,,south_shore
Plympton,South Shore,Plymouth,2964,557500.0,2021.0,53567,265185,5.05,35,11.49,4.42,48.0,41.11,2.49,,6.91,5.46,['school_score'],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'SRS Crime Rates CSV', 'housing_price_data.txt']",['South Shore'],partial,False,,south_shore
